,I1,I2,I3,I4,I5,I6,I7
Con1,2.511771281,2.32564501,2.316930061,2.460288998,2.530277555,2.40178214,2.653415329
Con2,2.448866583,2.408622277,2.259464561,2.267494492,2.318773936,2.445288039,2.630127484
Con3,2.520618461,2.47768037,2.336652013,2.170168034,2.056931684,2.939315606,2.852287718
BPA1,2.377121471,2.64143037,2.443061714,2.367382777,2.458886919,2.371759673,2.502604211
BPA2,2.552147733,2.459216671,2.264378211,2.312965442,2.393659354,2.337837301,2.354380245
BPA3,2.502059035,2.430558412,2.218771616,2.077195161,2.023815255,2.173559088,2.251714715
TCS1,2.598042614,2.441024753,2.422203003,2.373200155,2.38751586,2.504287432,2.302434715
TCS2,2.573458364,2.425689671,2.149704367,2.294068684,2.448999077,2.629331504,2.415123142
TCS3,2.546300676,2.417594497,2.1327533,2.246458396,2.358997041,2.373072537,2.494699474
MI1,2.55804711,2.563847573,2.211675402,2.351040645,2.37681534,2.534794787,2.3454973
MI2,2.633086529,2.525144297,1.987022716,2.04970233,2.212935028,2.388711136,2.204055417
MI3,2.478597009,2.312132465,2.204564535,1.843074401,2.238720433,2.814893795,2.401249564
MII1,2.141573937,2.484106922,2.196807898,2.242862585,2.350020139,2.818319492,2.302158909
MII2,2.618974898,2.262088952,2.221474826,2.220079595,2.297555521,2.811062401,2.371974509
MII3,2.6955826,2.258077822,2.276260372,2.389437322,2.334127826,2.360347174,2.293572965
